Name,G21,Team,Pts,Reb,Ast,MP,MinKP120,Pts20,Reb20,Ast20,Min20,G20,ACC_G,ACC_Pts,ACC_Reb,ACC_Ast,ACC_MP
Isaiah Wong,5.0,miami-fl,17.8,5.6,1.6,35.4,34.0,7.7,3.0,1.0,21.2,31.0,1,21.0,3.0,1.0,37.0
Harlond Beverly,5.0,miami-fl,8.6,7.4,4.2,30.8,35.0,7.2,2.3,2.3,19.9,31.0,1,9.0,4.0,3.0,35.0
Kameron McGusty,4.0,miami-fl,10.5,3.5,2.5,24.5,30.0,12.5,4.0,1.6,29.5,28.0,0,0,0,0,0
Anthony Walker,5.0,miami-fl,8.4,4.6,0.6,25.0,18.0,3.3,2.1,0.2,12.3,25.0,1,12.0,10.0,0.0,35.0
Nysier Brooks,5.0,miami-fl,7.2,6.8,0.2,27.4,30.0,,,,,0,1,2.0,4.0,0.0,24.0
Matt Cross,5.0,miami-fl,6.8,4.2,1.0,25.2,31.0,,,,,0,1,4.0,2.0,0.0,14.0
Chris Lykes,2.0,miami-fl,15.5,4.0,5.5,28.5,,15.4,2.1,2.4,30.1,26.0,0,0,0,0,0
Deng Gak,4.0,miami-fl,2.0,4.0,0.3,15.3,17.0,1.7,2.0,0.1,12.0,7.0,1,0.0,3.0,0.0,15.0
Elijah Olaniyi,1.0,miami-fl,7.0,2.0,3.0,37.0,,18.0,6.5,2.1,32.6,28.0,1,7.0,2.0,3.0,37.0
Rodney Miller,4.0,miami-fl,0.5,0.5,0.0,5.8,5.0,7.2,5.5,0.5,24.1,30.0,0,0,0,0,0
Willie Herenton,2.0,miami-fl,0.0,0.0,0.0,2.5,,0.8,0.2,0.1,2.5,11.0,1,0.0,0.0,0.0,3.0
Filippos Gkogkos,0.0,miami-fl,,,,,,0.0,0.4,0.0,2.0,7.0,0,0,0,0,0
Earl Timberlake,0.0,miami-fl,,,,,,,,,,0,0,0,0,0,0
Sam Waardenburg,0.0,miami-fl,,,,,,5.9,6.0,1.0,28.1,30.0,0,0,0,0,0
